Player ID,Player Name,Team,Team Short,Role,Batting Style,Bowling Style
7d053d4e-a735-4c96-bb98-4098dee523df,"Akeal Hosein","Chennai Super Kings",CSK,Bowler,"Left Handed Bat","Left-arm orthodox"
cbe808da-727a-4d9c-b3be-6eb431217483,"Anshul Kamboj","Chennai Super Kings",CSK,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
679f3d10-ac62-4f5b-89b2-7010935b9985,"Ayush Mhatre","Chennai Super Kings",CSK,Batsman,"Right Handed Bat","Right-arm offbreak"
14a56d48-499a-4b03-aa0f-bd3f592e9d94,"Dewald Brevis","Chennai Super Kings",CSK,Batsman,"Right Handed Bat","Right-arm legbreak"
c553c840-d84c-4a9f-a714-406ffe44f1e9,"Gurjapneet Singh","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Left-arm fast-medium"
9d8be8e7-4218-400f-919a-211415490575,"Jamie Overton","Chennai Super Kings",CSK,Bowling Allrounder,"Right Handed Bat","Right-arm fast"
a9897a50-1497-4912-8899-e67898f87f82,"Kartik Sharma","Chennai Super Kings",CSK,WK-Batsman,"Right Handed Bat","Right-arm offbreak"
8df6183b-1c95-46d2-85c0-e185792d03f1,"Khaleel Ahmed","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Left-arm fast-medium"
36e929d1-32f1-4d41-96c2-7df1364d0bab,"Matt Henry","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Right-arm fast-medium"
b55e1386-231c-4d40-9f6a-4d5a9512079c,"Matthew Short","Chennai Super Kings",CSK,Batsman,"Right Handed Bat","Right-arm offbreak"
b6e7aa41-b0bb-4b0f-8f59-59f729283be5,"MS Dhoni","Chennai Super Kings",CSK,WK-Batsman,"Right Handed Bat","Right-arm medium"
dc2f7f59-ce15-48aa-b7d9-793314961076,"Mukesh Choudhary","Chennai Super Kings",CSK,Bowler,"Left Handed Bat","Left-arm fast-medium"
6731db45-8132-49c6-8fcb-f59258d15082,"Nathan Ellis","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Right-arm fast-medium"
3cbc5a08-62af-4ca5-b709-c7712db6e8b6,"Noor Ahmad","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Left-arm wrist-spin"
fb46a43c-3deb-489d-8641-5d1744dfbf81,"Prashant Veer","Chennai Super Kings",CSK,Bowler,"Left Handed Bat","Left-arm orthodox"
d774adaf-78f0-4bf3-965e-8182c05b4517,"Rahul Chahar","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Right-arm legbreak"
f63eb69e-f17e-4d88-bf2b-d91af645c52c,"Ramakrishna Ghosh","Chennai Super Kings",CSK,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
50b70c71-1535-41c0-87fd-c12883105ede,"Ruturaj Gaikwad","Chennai Super Kings",CSK,Batsman,"Right Handed Bat","Right-arm offbreak"
35ed1b20-38f3-4013-be2e-dc28ffbecfd6,"Sanju Samson","Chennai Super Kings",CSK,WK-Batsman,"Right Handed Bat",""
ec1b806b-de33-4b79-b3ba-8a5ad78df163,"Sarfaraz Khan","Chennai Super Kings",CSK,Batsman,"Right Handed Bat","Right-arm legbreak"
22ee45d8-0538-4e3e-a758-c515f9b86d11,"Shivam Dube","Chennai Super Kings",CSK,Batting Allrounder,"Left Handed Bat","Right-arm medium"
b65be7fe-33cd-41d1-b601-31f25b4f72a4,"Shreyas Gopal","Chennai Super Kings",CSK,Bowler,"Right Handed Bat","Right-arm legbreak"
34ae4dde-3ec7-48a7-a2c1-d4e55122ff68,"Urvil Patel","Chennai Super Kings",CSK,WK-Batsman,"Right Handed Bat",""
c87a375e-2731-405d-a30e-3b99c06f614e,"Zakary Foulkes","Chennai Super Kings",CSK,Bowling Allrounder,"Right Handed Bat","Right-arm medium"
8199e3da-acb4-4bac-ab02-47d7ca004ed2,"Abishek Porel","Delhi Capitals",DC,WK-Batsman,"Left Handed Bat",""
014ba4b1-423c-49d3-a6f5-68e6bb90835e,"Ajay Jadav Mandal","Delhi Capitals",DC,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
cd5a9124-db0b-4cf8-b541-4f8830e02c0c,"Ashutosh Sharma","Delhi Capitals",DC,Batting Allrounder,"Right Handed Bat","Right-arm medium"
8fabee3c-244c-4ead-8f96-2ec79540d33f,"Auqib Nabi Dar","Delhi Capitals",DC,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
670ae8ac-4fe9-4f0c-84ee-320b13039f34,"Axar Patel","Delhi Capitals",DC,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
180036fe-fcb5-4fcf-ba8a-28bb2b750cc6,"Ben Duckett","Delhi Capitals",DC,Batsman,"Left Handed Bat","Right-arm offbreak"
2f50df2f-809d-44f9-b5be-ccb846515861,"David Miller","Delhi Capitals",DC,Batsman,"Left Handed Bat","Right-arm offbreak"
75fb3972-0436-40ee-bf45-73b1dba7b53e,"Dushmantha Chameera","Delhi Capitals",DC,Bowler,"Right Handed Bat","Right-arm fast"
367b54a9-80a5-40f6-bed6-086bbcd90899,"Karun Nair","Delhi Capitals",DC,Batsman,"Right Handed Bat","Right-arm offbreak"
a034346c-b408-4d29-a0f0-8b12430be28e,"KL Rahul","Delhi Capitals",DC,WK-Batsman,"Right Handed Bat",""
1e651cfb-57f1-48da-bf9d-83cbff1733d1,"Kuldeep Yadav","Delhi Capitals",DC,Bowler,"Left Handed Bat","Left-arm wrist-spin"
5673ee27-bf33-44b8-8973-41fd37923fed,"Kyle Jamieson","Delhi Capitals",DC,Bowler,"Right Handed Bat","Right-arm fast-medium"
a1782393-3479-4caa-9c27-79cb87df9abc,"Lungi Ngidi","Delhi Capitals",DC,Bowler,"Right Handed Bat","Right-arm fast"
a3f40660-ccd6-4360-81ac-237f7fe09926,"Madhav Tiwari","Delhi Capitals",DC,Bowling Allrounder,"Right Handed Bat","Right-arm medium"
bceb7084-1dda-4d76-b691-43c5a29d39a7,"Mitchell Starc","Delhi Capitals",DC,Bowler,"Left Handed Bat","Left-arm fast"
116e2bfb-6a97-4221-8006-8e7da70b0715,"Mukesh Kumar","Delhi Capitals",DC,Bowler,"Right Handed Bat","Right-arm fast-medium"
64360dd6-a8db-47ae-8837-638a5bbbaae6,"Nitish Rana","Delhi Capitals",DC,Batsman,"Left Handed Bat","Right-arm offbreak"
bbbf3b4e-dbc3-4f2a-986d-1a0227ea5a06,"Pathum Nissanka","Delhi Capitals",DC,Batsman,"Right Handed Bat",""
ba18ea55-4d65-4514-b8da-c3cc1fc286ce,"Sahil Parakh","Delhi Capitals",DC,--,"Left Handed Bat","Right-arm legbreak"
3ec5f8da-2054-4ebb-b9be-2668ddc45e66,"Sameer Rizvi","Delhi Capitals",DC,Batsman,"Right Handed Bat","Right-arm offbreak"
d8826d0d-ef95-4dce-a47a-b09b97f49f07,"T Natarajan","Delhi Capitals",DC,Bowler,"Left Handed Bat","Left-arm fast-medium"
c4d4fc79-efb2-4e26-a575-94c6fc419bf9,"Tripurana Vijay","Delhi Capitals",DC,Batting Allrounder,"Right Handed Bat","Right-arm offbreak"
de19a93e-06df-4597-9186-7a53c1613552,"Tristan Stubbs","Delhi Capitals",DC,WK-Batsman,"Right Handed Bat","Right-arm offbreak"
6d4e7d4a-4fae-4958-bc15-a063c09508eb,"Vipraj Nigam","Delhi Capitals",DC,Bowler,"Right Handed Bat","Right-arm legbreak"
863fd5b5-b77f-4168-b514-79a88641c553,"Anuj Rawat","Gujarat Titans",GT,WK-Batsman,"Left Handed Bat",""
09ca2fcc-1a5a-4f35-80f4-4ef9bc2b2f64,"Arshad Khan","Gujarat Titans",GT,Bowling Allrounder,"Left Handed Bat","Left-arm medium"
4b661541-36cf-4dbe-96f0-3d58f971a2a9,"Ashok Sharma","Gujarat Titans",GT,Bowler,"Right Handed Bat","Right-arm fast-medium"
9e6fa482-3ad3-4831-b05d-4fed2510cdf5,"Glenn Phillips","Gujarat Titans",GT,Batting Allrounder,"Right Handed Bat","Right-arm offbreak"
48da9a39-30d0-4b7d-9f61-44d221b653fa,"Gurnoor Brar","Gujarat Titans",GT,Bowler,"Left Handed Bat","Right-arm fast"
0c3d24bb-a517-435f-8cc3-60e945327bb3,"Ishant Sharma","Gujarat Titans",GT,Bowler,"Right Handed Bat","Right-arm fast-medium"
f8e6accd-6b73-4869-93a6-d45519a361f0,"Jason Holder","Gujarat Titans",GT,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
9fc99793-a5b5-4eb2-9f7b-48cc3dc3cf8d,"Jayant Yadav","Gujarat Titans",GT,Bowling Allrounder,"Right Handed Bat","Right-arm offbreak"
7567e305-1b40-4eee-9290-e2fcb8804496,"Jos Buttler","Gujarat Titans",GT,WK-Batsman,"Right Handed Bat",""
a81da20a-e420-476a-baf6-204fc219dbdd,"Kagiso Rabada","Gujarat Titans",GT,Bowler,"Left Handed Bat","Right-arm fast"
8b30fc91-1c7d-4fc9-899c-c795614a42a9,"Kumar Kushagra","Gujarat Titans",GT,WK-Batsman,"Right Handed Bat",""
fe5f4f96-c207-4e3f-b0d5-cebc74435448,"Luke Wood","Gujarat Titans",GT,Bowler,"Left Handed Bat","Left-arm fast-medium"
c57237c9-a432-4ece-a56b-eac190b45919,"Manav Suthar","Gujarat Titans",GT,Bowler,"Left Handed Bat","Left-arm orthodox"
2a8d8640-2213-4cf6-ac7e-309d8b733e96,"Mohammed Siraj","Gujarat Titans",GT,Bowler,"Right Handed Bat","Right-arm fast"
3a51a030-8cac-42c7-8a47-e32fd1bcedd4,"Nishant Sindhu","Gujarat Titans",GT,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
99eb6b5c-379f-46da-bab7-dc8fd31ba435,"Prasidh Krishna","Gujarat Titans",GT,Bowler,"Right Handed Bat","Right-arm fast"
bad40656-82da-4d9f-949a-37b7cbcd8303,"Prithvi Raj Yarra","Gujarat Titans",GT,Bowler,"Left Handed Bat","Left-arm fast-medium"
085d49b0-d5e5-4fc5-955b-39758a134545,"Rahul Tewatia","Gujarat Titans",GT,Batting Allrounder,"Left Handed Bat","Right-arm legbreak"
f0687183-ad9a-44f7-9cbf-4f7eb0cbfb5a,"Rashid Khan","Gujarat Titans",GT,Bowling Allrounder,"Right Handed Bat","Right-arm legbreak"
7d6bbd6c-c5bb-4e1c-9374-aaa829e77611,"Ravisrinivasan Sai Kishore","Gujarat Titans",GT,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
79f582a1-f5ab-4d30-8f5f-b05d4143608c,"Sai Sudharsan","Gujarat Titans",GT,Batsman,"Left Handed Bat","Right-arm legbreak"
d0f69230-16e0-4a79-92aa-f9f7c588d5d3,"Shahrukh Khan","Gujarat Titans",GT,Batting Allrounder,"Right Handed Bat","Right-arm offbreak"
7263e990-a9e9-4829-8adf-760d18d1315c,"Shubman Gill","Gujarat Titans",GT,Batsman,"Right Handed Bat","Right-arm offbreak"
6364e591-1f4b-4fe6-867c-ae61ea21f6f0,"Tom Banton","Gujarat Titans",GT,WK-Batsman,"Right Handed Bat",""
309d3ffd-3d06-460d-9427-c559a604d471,"Washington Sundar","Gujarat Titans",GT,Bowling Allrounder,"Left Handed Bat","Right-arm offbreak"
cdc2646c-1fe7-4bc2-b26e-42453f45a212,"Ajinkya Rahane","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat","Right-arm medium"
96b0aa6a-d886-4c50-a968-63e5ec31ed0d,"Akash Deep","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm fast-medium"
3c89df94-f39c-4c51-8e64-441c73c32c78,"Angkrish Raghuvanshi","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat","Right-arm offbreak"
2958faf6-f7d1-4150-aa9e-e261a629ba0d,"Anukul Roy","Kolkata Knight Riders",KKR,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
abe58090-e933-4888-8538-64f4611ee259,"Cameron Green","Kolkata Knight Riders",KKR,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
9a87c7c6-18de-403b-a7ce-90fb2c35eedd,"Daksh Kamra","Kolkata Knight Riders",KKR,Unknown,"",""
08924d57-b4d3-4ed0-903d-087a8384be12,"Finn Allen","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat",""
225ae9ea-dba6-456d-a64b-2dbd7476c8f0,"Harshit Rana","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm fast-medium"
ff17824f-0e1c-4eb7-acd3-8b5d116934bc,"Kartik Tyagi","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm fast"
306f6b88-0442-476a-be55-1500b3441051,"Manish Pandey","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat","Right-arm medium"
d59bfc6b-bf4c-4a23-aa82-954911b0973d,"Matheesha Pathirana","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm fast"
5d15a50d-3d28-4576-b237-a0029d0933da,"Prashant Solanki","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm legbreak"
e6d28951-8524-43ca-95cf-9e73ae68bc12,"Rachin Ravindra","Kolkata Knight Riders",KKR,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
fb313a9a-0a14-499d-a8d1-7561bccea8cb,"Rahul Tripathi","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat","Right-arm medium"
3187d301-269d-4823-b895-66d652ddefca,"Ramandeep Singh","Kolkata Knight Riders",KKR,Batting Allrounder,"Right Handed Bat","Right-arm medium"
11864f31-b766-4766-9cbc-5026015ace48,"Rinku Singh","Kolkata Knight Riders",KKR,Batsman,"Left Handed Bat","Right-arm offbreak"
c699ec2b-a5f6-4ee0-a42d-79391b65b293,"Rovman Powell","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat","Right-arm fast-medium"
